ip89DId,ip89DName,ADMIN3,KEADMN3_ID,Y89Pop,Y89Births,Y89Brate,Y99Pop,Y99Births,Y99Brate,PopChg,BrateChg
1010,Nairobi,NAIROBI,41,1325620,42560,32.11,2085820,58700,28.14,57,-12
2010,Kiambu,KIAMBU,38,908120,27720,30.52,1383300,36140,26.13,52,-14
2020,Kirinyaga,KIRINYAGA,29,389440,10980,28.19,452180,10840,23.97,16,-15
2030,Muranga,MURANGA,36,862540,27940,32.39,737520,16500,22.37,-14,-31
2040,Nyandaura,NYANDARUA,22,348520,12520,35.92,468300,13320,28.44,34,-21
2050,Nyeri,NYERI,26,607980,17540,28.85,644380,14340,22.25,6,-23
3010,Kilifi,KILIFI,59,593260,22640,38.16,813060,27620,33.97,37,-11
3020,Kwale,KWALE,62,375320,13820,36.82,490400,17800,36.3,31,-1
3030,Lamu,LAMU,43,57960,1680,28.99,72380,1760,24.32,25,-16
3040,Mombasa,MOMBASA,63,459740,14440,31.41,643240,16580,25.78,40,-18
3050,Taita Taveta,TAITA TAVETA,60,212600,6520,30.67,245880,7180,29.2,16,-5
3060,Tana River,TANA RIVER,27,128460,4420,34.41,177120,6100,34.44,38,0
4010,Embu,EMBU,30,368680,11380,30.87,443900,12760,28.75,20,-7
4020,Isiolo,ISIOLO,7,66960,2360,35.24,101040,3360,33.25,51,-6
4030,Kitui,KITUI,28,654500,24840,37.95,813200,29060,35.74,24,-6
4040,Machakos,MAKUENI,42,1405680,49640,35.31,1654980,49340,29.81,18,-16
4040,Machakos,MACHAKOS,39,1405680,49640,35.31,1654980,49340,29.81,18,-16
4050,Marsabit,MARSABIT,2,128180,4400,34.33,170480,5080,29.8,33,-13
4060,Meru,MERU,17,1143560,39440,34.49,1388760,38460,27.69,21,-20
4060,Meru,NITHI,23,1143560,39440,34.49,1388760,38460,27.69,21,-20
5010,Garissa,GARISSA,12,118380,2680,22.64,524560,10880,20.74,343,-8
5020,Mandera,MANDERA,3,124140,3040,24.49,250240,5840,23.34,102,-5
5030,Wajir,WAJIR,4,120840,3260,26.98,317400,6040,19.03,163,-29
6010,Kisii,KISII,35,1135500,49740,43.8,2363120,67780,28.68,108,-35
6010,Kisii,NYAMIRA,33,1135500,49740,43.8,2363120,67780,28.68,108,-35
6010,Kisii,KISII,35,1135500,49740,43.8,2363120,67780,28.68,108,-35
6020,Kisumu,KISUMU,25,661820,26660,40.28,780660,26680,34.18,18,-15
6030,Siaya,SIAYA,19,641180,23500,36.65,704580,22220,31.54,10,-14
6040,South Nyanza,MIGORI,37,1065640,46500,43.64,1397340,52180,37.34,31,-14
6040,South Nyanza,HOMA_BAY,31,1065640,46500,43.64,1397340,52180,37.34,31,-14
7010,Kajiado,KAJIADO,40,256380,10160,39.63,393720,14600,37.08,54,-6
7020,Kericho,BOMET,32,901720,41100,45.58,1153680,42140,36.53,28,-20
7020,Kericho,KERICHO,24,901720,41100,45.58,1153680,42140,36.53,28,-20
7030,Laikipia,LAIKIPIA,15,214240,7260,33.89,324180,9880,30.48,51,-10
7040,Nakuru,NAKURU,20,849500,32420,38.16,1187820,39740,33.46,40,-12
7050,Nandi,NANDI,18,437040,17260,39.49,569580,21060,36.97,30,-6
7060,Narok,NAROK,34,397980,20300,51.01,530380,21420,40.39,33,-21
7070,Baringo,BARINGO,8,287660,11680,40.6,403100,13640,33.84,40,-17
7080,Elgeyo-Marakwet,E. MARAKWET,9,217700,9080,41.71,284200,8500,29.91,31,-28
7090,Samburu,SAMBURU,6,114960,4460,38.8,141600,5320,37.57,23,-3
7100,Trans-Nzoia,TRANS-NZOIA,10,403760,16340,40.47,573460,23200,40.46,42,0
7110,Turkana,TURKANA,1,184660,6580,35.63,389020,8600,22.11,111,-38
7120,Uasin-Gishu,UASIN GISHU,13,443280,17900,40.38,616240,22260,36.12,39,-11
7130,West-Pokot,WEST POKOT,5,224640,9440,42.02,309020,12940,41.87,38,0
8010,Bugoma,BUNGOMA,11,741940,34600,46.63,1008080,43240,42.89,36,-8
8020,Busia,BUSIA,16,425380,18640,43.82,547680,23440,42.8,29,-2
8030,Kakamega,VIHIGA,21,1476500,57460,38.92,2011960,69380,34.48,36,-11
8030,Kakamega,KAKAMEGA,14,1476500,57460,38.92,2011960,69380,34.48,36,-11
