year,month,day,hr,min,sec,lon(degr),lat(degr),alt(m),qual,sats,x(m),y(m),speed(km/h),load(kg),tare(kg),conv.factor,beltspd(m/s),workwidth(m),yield(ton/ha),totalyield(ton),totalarea(ha),worktime(s),loadnr,loadweight(ton),loadbelt(m),enginespd(rpm),demandtorque(),actualtorque(),fuelrate(l/h),totfuel(l),tractrear(bar)
2012,9,10,17,1,53,5.1930494,51.3409767,34.042000,4,15,17.24,-30.31,0.32,14.5,14.2,3.14349,0.78,3.00,0.0,0.0,0.00,0.0,5,2.226,112.1,1842.00,43.00,44.00,35.40,0.50,16.00
2012,9,10,17,1,55,5.1930737,51.3409691,34.025002,4,15,18.78,-31.41,3.94,13.8,14.2,3.14349,0.79,3.00,0.0,0.0,0.00,2.4,5,2.226,113.2,1894.00,28.00,29.00,27.10,0.50,18.00
2012,9,10,17,1,56,5.1930890,51.3409691,33.984001,4,15,20.03,-31.05,3.71,14.0,14.2,3.14349,0.77,3.00,0.0,0.0,0.00,3.2,5,2.226,113.6,1865.00,34.00,35.00,27.75,0.50,18.00
2012,9,10,17,1,57,5.1931043,51.3409653,33.928001,4,15,20.97,-31.77,3.94,14.2,14.2,3.14349,0.79,3.00,0.6,0.0,0.00,4.2,5,2.226,114.1,1883.00,28.00,29.00,23.70,0.50,24.00
2012,9,10,17,1,58,5.1931190,51.3409615,33.903000,4,15,22.09,-31.65,3.67,15.3,14.2,3.14349,0.79,3.00,9.6,0.0,0.00,5.3,5,2.226,114.8,1857.00,34.00,35.00,27.95,0.50,18.00
2012,9,10,17,1,59,5.1931338,51.3409615,33.870998,4,15,23.13,-32.00,3.82,15.5,14.2,3.14349,0.82,3.00,10.5,0.0,0.00,6.3,5,2.227,115.6,1879.00,29.00,29.00,23.60,0.50,18.00
2012,9,10,17,2,0,5.1931486,51.3409576,33.835999,4,15,24.12,-32.29,3.90,15.5,14.2,3.14349,0.79,3.00,10.3,0.0,0.00,7.3,5,2.227,116.4,1878.00,29.00,29.00,22.75,0.50,18.00
2012,9,10,17,2,1,5.1931629,51.3409538,33.823002,4,15,25.08,-32.75,3.76,15.5,14.2,3.14349,0.77,3.00,10.6,0.0,0.00,8.3,5,2.227,117.1,1856.00,37.00,37.00,31.55,0.50,18.00
2012,9,10,17,2,2,5.1931782,51.3409538,33.785000,4,15,26.23,-32.70,3.87,15.3,14.2,3.14349,0.81,3.00,9.0,0.0,0.00,9.1,5,2.227,117.8,1877.00,29.00,30.00,23.45,0.50,20.00
2012,9,10,17,2,3,5.1931925,51.3409500,33.764000,4,15,27.19,-33.10,3.77,15.5,14.2,3.14349,0.79,3.00,10.8,0.0,0.00,10.1,5,2.227,118.6,1865.00,34.00,35.00,29.25,0.50,18.00
2012,9,10,17,2,4,5.1932073,51.3409462,33.733002,4,15,28.21,-33.48,3.74,16.0,14.2,3.14349,0.77,3.00,14.4,0.0,0.00,11.1,5,2.228,119.4,1874.00,32.00,32.00,25.40,0.50,18.00
2012,9,10,17,2,5,5.1932220,51.3409462,33.716999,4,15,29.26,-33.68,3.82,16.4,14.2,3.14349,0.80,3.00,17.7,0.0,0.00,12.1,5,2.228,120.2,1882.00,29.00,29.00,24.00,0.50,18.00
2012,9,10,17,2,6,5.1932368,51.3409424,33.681000,4,15,30.29,-33.82,3.69,16.3,14.2,3.14349,0.77,3.00,16.7,0.0,0.00,13.2,5,2.228,121.0,1875.00,32.00,32.00,25.45,0.50,18.00
2012,9,10,17,2,8,5.1932635,51.3409386,33.653999,4,15,32.16,-34.37,3.29,15.7,14.2,3.14349,0.77,3.00,14.0,0.0,0.00,15.0,5,2.229,122.4,1872.00,32.00,32.00,25.65,0.50,18.00
2012,9,10,17,2,27,5.1932840,51.3409576,33.673000,4,15,33.41,-30.67,2.12,14.8,14.2,3.14349,0.78,3.00,8.4,0.0,0.00,16.9,5,2.234,127.7,1842.00,43.00,43.00,36.15,0.50,18.00
2012,9,10,17,2,28,5.1932993,51.3409615,33.669998,4,15,34.57,-30.41,1.81,14.4,14.2,3.14349,0.79,3.00,4.3,0.0,0.01,18.1,5,2.235,128.6,1872.00,35.00,36.00,29.75,0.50,20.00
2012,9,10,17,2,30,5.1933146,51.3409653,33.647999,4,15,35.59,-29.96,2.03,15.4,14.2,3.14349,0.79,3.00,18.0,0.0,0.01,20.0,5,2.237,130.1,1877.00,32.00,33.00,27.15,0.50,18.00
2012,9,10,17,2,32,5.1933303,51.3409691,33.612999,4,15,36.76,-29.71,2.23,15.6,14.2,3.14349,0.78,3.00,19.8,0.0,0.01,21.9,5,2.239,131.6,1880.00,29.00,29.00,23.45,0.50,20.00
2012,9,10,17,2,34,5.1933432,51.3409729,33.651001,4,15,37.46,-28.85,2.03,16.3,14.2,3.14349,0.79,3.00,31.0,0.0,0.01,23.9,5,2.239,133.2,1887.00,33.00,34.00,27.80,0.50,18.00
2012,9,10,17,2,36,5.1933584,51.3409767,33.667999,4,15,38.59,-28.57,2.46,17.1,14.2,3.14349,0.80,3.00,35.8,0.0,0.01,26.0,5,2.240,134.8,1880.00,28.00,29.00,22.00,1.00,22.00
2012,9,10,17,2,38,5.1933737,51.3409805,33.654999,4,15,39.69,-28.13,2.22,18.2,14.2,3.14349,0.80,3.00,54.4,0.0,0.01,27.8,5,2.245,136.2,1881.00,31.00,32.00,25.65,1.00,18.00
2012,9,10,17,2,40,5.1933889,51.3409843,33.630001,4,15,40.81,-27.79,2.20,19.5,14.2,3.14349,0.79,3.00,73.4,0.0,0.01,29.6,5,2.251,137.7,1860.00,41.00,41.00,35.20,1.00,20.00
2012,9,10,17,2,42,5.1934080,51.3409882,33.618000,4,15,42.09,-27.08,2.49,21.0,14.2,3.14349,0.78,3.00,80.8,0.0,0.01,31.7,5,2.258,139.3,1862.00,38.00,38.00,32.25,1.00,18.00
2012,9,10,17,2,44,5.1934309,51.3409958,33.602001,4,15,43.66,-26.33,3.64,21.6,14.2,3.14349,0.79,3.00,61.2,0.0,0.01,33.6,5,2.267,140.8,1870.00,41.00,42.00,35.85,1.00,20.00
2012,9,10,17,2,45,5.1934452,51.3409996,33.605000,4,15,44.63,-25.86,3.64,22.5,14.2,3.14349,0.81,3.00,69.7,0.0,0.01,34.6,5,2.272,141.6,1841.00,48.00,49.00,39.95,1.00,14.00
2012,9,10,17,2,46,5.1934600,51.3410034,33.605000,4,15,45.78,-25.78,4.41,21.7,14.2,3.14349,0.83,3.00,53.5,0.1,0.01,35.6,5,2.277,142.4,1896.00,35.00,35.00,30.90,1.00,18.00
2012,9,10,17,2,47,5.1934738,51.3410072,33.611000,4,15,46.50,-24.65,3.89,21.9,14.2,3.14349,0.80,3.00,60.3,0.1,0.01,36.5,5,2.280,143.1,1841.00,48.00,49.00,39.85,1.00,20.00
